channel,mean,rms,meanerr,rmserr,tv
1928,421.522,16.5745,0.21181,0.25657,10389
1927,486.908,15.0589,0.186077,0.173833,10389
1926,512.996,20.9007,0.207074,0.194067,10389
1925,488.072,17.6662,0.179138,0.197859,10389
1924,604.14,16.6236,0.203409,0.19699,10389
1923,669.094,12.7477,0.187123,0.159493,10389
1922,679.626,19.2182,0.256382,0.271295,10389
1595,535.787,8.26584,0.119375,0.164732,10389
1703,516.712,14.4949,0.255097,0.276468,10389
1702,400.997,12.1424,0.207846,0.225251,10389
1578,351.532,10.7376,0.173917,0.18807,10389
1701,344.013,10.1811,0.159411,0.190117,10389
1579,327.303,11.8696,0.175017,0.229824,10389
1700,293.186,10.7751,0.195063,0.205689,10389
1580,258.552,14.1805,0.193463,0.203584,10389
1699,322.317,13.6169,0.319542,0.263291,10389
1581,297.461,12.5203,0.178033,0.171966,10389
1698,307.311,11.3905,0.196626,0.195286,10389
1582,260.359,13.5514,0.175242,0.202447,10389
1697,215.921,14.4663,0.192582,0.145501,10389
1583,275.66,15.5033,0.240517,0.29739,10389
1696,367.84,17.7584,0.303909,0.194856,10389
1584,352.217,12.581,0.22954,0.230091,10389
1695,479.955,15.2443,0.2402,0.202801,10389
1712,542.528,12.9928,0.30492,0.419296,10389
1569,426.693,10.667,0.180909,0.258343,10389
1711,372.578,10.606,0.206769,0.347383,10389
1570,364.691,2.44719,0.0710259,0.0286293,10389
1710,394.253,8.74537,0.160233,0.250867,10389
1571,338.14,16.7985,0.269302,0.462724,10389
1709,339.77,14.5931,0.320064,0.301999,10389
1572,345.148,10.3967,0.159057,0.188612,10389
1708,366.615,13.288,0.214507,0.305339,10389
1573,371.071,11.7576,0.15689,0.230726,10389
1707,346.956,12.9554,0.224218,0.191743,10389
1574,381.497,13.8675,0.220005,0.254752,10389
1706,381.2,14.1872,0.287509,0.243782,10389
1575,457.647,11.6696,0.184695,0.295789,10389
1705,556.244,11.8413,0.156123,0.198258,10389
1704,629.351,13.3241,0.198263,0.257952,10389
1585,578.342,23.0032,0.329931,0.281765,10389
1907,723.068,7.62148,0.198381,0.120095,10389
1906,759.503,9.58272,0.245647,0.210395,10389
1905,726.879,7.8361,0.251554,0.116547,10389
1904,625.383,14.8986,1.36537,0.373978,10389
1903,583.333,6.76491,0.196038,0.122487,10389
1902,599.177,6.93025,0.13815,0.111784,10389
1901,583.103,7.43845,0.142691,0.129267,10389
1900,644.338,7.68391,0.165578,0.137085,10389
1899,549.642,6.98681,0.141267,0.115066,10389
1898,595.428,7.27616,0.160207,0.107736,10389
1897,633.905,9.14129,0.200559,0.143041,10389
1896,651.606,8.15853,0.185436,0.129702,10389
1895,656.606,10.9724,0.160268,0.151138,10389
1894,651.194,11.3306,0.217063,0.163857,10389
1577,589.891,10.5462,0.182329,0.225418,10389
1576,539.721,10.539,0.169325,0.221391,10389
1893,537.417,10.9628,0.139335,0.115514,10389
1892,472.563,11.3099,0.166934,0.139626,10389
1891,472.457,11.511,0.138879,0.123715,10389
1890,477.694,12.507,0.157484,0.129797,10389
1889,542.269,12.3948,0.161989,0.141247,10389
1888,476.07,17.3515,0.32316,0.436342,10389
1887,451.109,12.7574,0.194395,0.159376,10389
1886,402.505,9.0237,0.153169,0.117655,10389
1885,460.977,11.6024,0.122589,0.171902,10389
1884,412.667,11.2551,0.136362,0.131317,10389
1883,408.848,8.53792,0.127599,0.115815,10389
1882,442.078,9.78256,0.155955,0.159543,10389
1881,486.852,9.5706,0.151843,0.124915,10389
1880,548.418,9.21351,0.123639,0.135014,10389
1568,672.912,11.6406,0.186886,0.248338,10389
1730,0,0,0,0,10389
1551,0,0,0,0,10389
1729,0,0,0,0,10389
1552,0,0,0,0,10389
1728,0,0,0,0,10389
1553,0,0,0,0,10389
1727,0,0,0,0,10389
1554,0,0,0,0,10389
1726,0,0,0,0,10389
1555,0,0,0,0,10389
1725,383,0,0,0,10389
1556,0,0,0,0,10389
1724,447,0,0,0,10389
1557,447,0,0,0,10389
1723,511,0,0,0,10389
1722,0,0,0,0,10389
1721,0,0,0,0,10389
1720,0,0,0,0,10389
1560,0,0,0,0,10389
1719,0,0,0,0,10389
1561,0,0,0,0,10389
1718,0,0,0,0,10389
1562,0,0,0,0,10389
1717,0,0,0,0,10389
1563,0,0,0,0,10389
1716,0,0,0,0,10389
1564,0,0,0,0,10389
1715,0,0,0,0,10389
1565,0,0,0,0,10389
1714,0,0,0,0,10389
1566,0,0,0,0,10389
1713,0,0,0,0,10389
1558,0,0,0,0,10389
1865,0,0,0,0,10389
1864,0,0,0,0,10389
1863,0,0,0,0,10389
1862,0,0,0,0,10389
1861,0,0,0,0,10389
1860,0,0,0,0,10389
1859,0,0,0,0,10389
1858,0,0,0,0,10389
1857,0,0,0,0,10389
1856,0,0,0,0,10389
1855,0,0,0,0,10389
1854,0,0,0,0,10389
1853,0,0,0,0,10389
1852,0,0,0,0,10389
1550,0,0,0,0,10389
1567,0,0,0,0,10389
1879,0,0,0,0,10389
1878,0,0,0,0,10389
1877,0,0,0,0,10389
1876,0,0,0,0,10389
1875,0,0,0,0,10389
1874,0,0,0,0,10389
1873,0,0,0,0,10389
1872,0,0,0,0,10389
1871,0,0,0,0,10389
1870,0,0,0,0,10389
1869,0,0,0,0,10389
1868,0,0,0,0,10389
1867,0,0,0,0,10389
1866,0,0,0,0,10389
1559,0,0,0,0,10389
1739,542.67,1.34141,0.01172,0.00720146,10389
1738,467.867,1.38475,0.0213806,0.00910484,10389
1542,456.797,1.1644,0.0194581,0.00643789,10389
1737,404.198,1.37391,0.0202218,0.0085271,10389
1543,349.709,2.39082,0.0439978,0.0387284,10389
1736,423.035,13.5303,0.274178,0.304123,10389
1544,320.203,13.6675,0.232357,0.230085,10389
1735,465.375,10.2997,0.208721,0.161742,10389
1545,300.508,13.2526,0.211347,0.231499,10389
1734,434.983,10.4614,0.235011,0.241665,10389
1546,398.705,10.7706,0.170076,0.212618,10389
1733,427.737,9.84991,0.231676,0.189219,10389
1547,462.346,9.45294,0.147332,0.19026,10389
1732,494.596,10.6095,0.202861,0.2437,10389
1548,467.275,10.2851,0.175836,0.178968,10389
1731,596.186,10.3995,0.268826,0.192758,10389
1748,498.513,10.8697,0.204003,0.304161,10389
1677,462.183,9.65171,0.179119,0.227132,10389
1747,365.771,9.75955,0.181687,0.221589,10389
1678,359.833,8.88109,0.199239,0.193599,10389
1746,355.233,14.6012,0.176964,0.223972,10389
1679,319.23,10.3525,0.207873,0.230212,10389
1745,337.151,12.6779,0.169276,0.20596,10389
1536,368.714,11.5303,0.182435,0.218757,10389
1744,353.974,11.586,0.203179,0.146686,10389
1537,348.055,10.5287,0.164567,0.175302,10389
1743,401.387,13.0033,0.233146,0.235,10389
1538,369.626,10.773,0.213185,0.247516,10389
1742,464.392,14.151,0.225116,0.211215,10389
1539,412.398,11.5172,0.189629,0.189268,10389
1741,562.095,14.4785,0.293273,0.227475,10389
1740,567.404,21.2615,0.599655,0.317196,10389
1549,541.294,19.3989,0.271802,0.288141,10389
1851,606.668,9.4293,0.22309,0.20043,10389
1850,475.657,10.9372,0.233645,0.157643,10389
1849,484.981,10.7445,0.207737,0.151263,10389
1848,488.595,11.5577,0.191556,0.136447,10389
1847,526.391,11.4609,0.195047,0.164139,10389
1846,459.236,13.6151,0.266456,0.195528,10389
1845,506.216,13.2805,0.252969,0.166659,10389
1844,593.146,10.1694,0.176394,0.139518,10389
1843,538.635,9.38441,0.198985,0.124154,10389
1842,617.286,10.6038,0.193865,0.140226,10389
1841,530.986,9.50208,0.183466,0.111515,10389
1840,546.996,12.4554,0.208846,0.131381,10389
1839,592.684,13.9258,0.214779,0.205821,10389
1838,638.764,15.5893,0.220783,0.186647,10389
1541,574.684,14.544,0.215006,0.248253,10389
1540,599.655,13.8604,0.211523,0.219781,10389
1837,657.475,12.7457,0.157423,0.167264,10389
1836,569.838,14.3097,0.167169,0.193495,10389
1835,533.433,10.4373,0.146316,0.131823,10389
1834,592.704,11.2751,0.188169,0.149789,10389
1833,525.94,9.3727,0.16758,0.119249,10389
1832,474.866,9.86489,0.164414,0.120461,10389
1831,464.191,9.62381,0.141992,0.144832,10389
1830,438.57,11.1419,0.16987,0.175313,10389
1829,505.067,15.2436,0.167484,0.186831,10389
1828,417.7,12.0709,0.141704,0.148519,10389
1827,475.267,14.2503,0.144587,0.157096,10389
1826,456.877,15.4264,0.163433,0.192621,10389
1825,522.792,15.0186,0.278252,0.221867,10389
1824,513.932,20.6399,0.17386,0.22246,10389
1676,580.79,13.5317,0.267957,0.292006,10389
1254,915.897,7.96735,0.356393,0.123806,10389
1147,776.928,10.6987,0.253222,0.15902,10389
1253,716.8,6.77161,0.310188,0.099768,10389
1148,733.983,9.82944,0.237621,0.108592,10389
1252,679.86,6.79733,0.268675,0.0863382,10389
1149,837.799,12.094,0.466236,0.177809,10389
1251,638.631,7.22313,0.970874,0.32395,10389
1150,682.315,9.07783,0.271185,0.114676,10389
1250,696.753,7.98983,0.438416,0.147648,10389
1151,641.108,9.912,0.328712,0.146623,10389
1249,753.681,7.17019,0.33948,0.11391,10389
1152,692.595,8.90414,0.335701,0.144141,10389
1248,639.403,6.59617,0.566982,0.132016,10389
1153,734.446,9.63373,0.198061,0.103249,10389
1247,799.687,8.76477,0.308344,0.119645,10389
1246,805.92,8.40798,0.312646,0.109911,10389
1245,739.416,8.0095,0.310567,0.110922,10389
1244,651.853,7.05647,0.250963,0.120091,10389
1156,657.506,8.81596,0.230753,0.104534,10389
1243,463.581,7.39932,0.189773,0.108645,10389
1157,447.012,13.0581,0.652858,0.308292,10389
1242,348.306,8.32625,0.32542,0.250253,10389
1158,344.69,8.83731,0.171169,0.0765144,10389
1241,342.221,14.1869,0.274422,0.200521,10389
1159,287.63,8.20645,0.144219,0.0967157,10389
1240,364.301,16.3829,0.397246,0.207019,10389
1160,341.244,6.25959,0.0921497,0.0972302,10389
1239,289.872,24.56,0.312105,0.160064,10389
1161,418.507,6.09882,0.134073,0.101375,10389
1238,453.164,5.08053,0.140055,0.144763,10389
1162,459.22,7.12761,0.154232,0.0982727,10389
1237,4095,0,0,0,10389
1154,1075.62,10.6147,0.264545,0.164339,10389
1438,621.908,9.90999,0.112147,0.127149,10389
1439,448.387,9.70298,0.107002,0.124466,10389
1440,563.28,6.86838,0.0948335,0.0950002,10389
1441,471.799,8.12701,0.108364,0.0914414,10389
1442,520.538,9.75129,0.128165,0.15957,10389
1443,453.413,10.2467,0.158781,0.130635,10389
1444,486.786,8.908,0.115891,0.105564,10389
1445,416.565,8.4777,0.130669,0.0997889,10389
1446,467.914,9.97032,0.108769,0.106932,10389
1447,443.277,12.127,0.154816,0.13938,10389
1448,2067.22,1.49734,0.0706321,0.0101275,10389
1449,589.434,8.73755,0.12361,0.133754,10389
1450,540.675,10.8874,0.12224,0.116486,10389
1451,671.212,11.7203,0.128426,0.138403,10389
1146,960.167,15.0118,0.417177,0.197978,10389
1163,573.153,15.5221,0.343654,0.16143,10389
1424,532.043,8.16246,0.145552,0.0936115,10389
1425,422.612,8.83933,0.135737,0.0962714,10389
1426,494.715,7.46767,0.122582,0.0756396,10389
1427,379.233,7.66913,0.115293,0.10652,10389
1428,363.547,7.73542,0.0860336,0.0908178,10389
1429,363.073,7.81329,0.0972092,0.0857335,10389
1430,358.726,7.99867,0.0904107,0.0871309,10389
1431,350.622,9.81023,0.0840201,0.111747,10389
1432,405.795,10.5951,0.101113,0.111445,10389
1433,500.926,12.1458,0.124624,0.132985,10389
1434,402.665,7.64019,0.0763442,0.0868372,10389
1435,559.155,11.1642,0.104664,0.137805,10389
1436,490.23,9.48188,0.0862544,0.103937,10389
1437,572.593,10.7045,0.142461,0.127421,10389
1155,844.21,10.4291,0.256382,0.153405,10389
1263,682.904,7.54314,0.253926,0.103436,10389
1262,583.805,5.59283,0.23858,0.113915,10389
1138,535.673,9.92579,0.131881,0.119249,10389
1261,575.266,7.23771,0.428668,0.134631,10389
1139,519.261,8.93153,0.353161,0.140854,10389
1260,511.024,6.77885,0.419296,0.109142,10389
1140,604.17,7.39078,0.214102,0.104286,10389
1259,486.26,7.93603,0.338146,0.106589,10389
